Student_ID,Hours_Studied,Attendance_Pct,Past_Grade,Teacher_Notes,Handwritten_Grade_Label,Student_Category,Final_Score
1001,4.4,70.5,74.3,Needs significant improvement in fundamentals.,1,Average,60.9
1002,9.6,69.9,88.3,Outstanding performance this semester and shows excellent analytical thinking.,0,Top 5%,92.1
1003,7.6,96.3,85.6,Highly engaged in class discussions and outstanding performance this semester.,3,Average,91.1
1004,6.4,70.0,49.2,Shows excellent analytical thinking but frequently distracted during lectures.,9,Average,67.8
1005,2.4,70.9,49.0,Needs significant improvement in fundamentals.,8,Dropout Risk,45.3
1006,2.4,90.4,56.1,Highly engaged in class discussions.,3,Average,58.1
1007,1.5,78.0,61.7,Struggling with algebra concepts.,3,Dropout Risk,46.6
1008,8.8,91.1,64.5,Consistently submits assignments on time and demonstrates great understanding of core concepts.,6,Average,87.4
1009,6.4,62.6,80.8,Shows excellent analytical thinking but inconsistent attendance affecting performance.,8,Average,76.1
1010,7.4,79.5,43.4,Frequently distracted during lectures but shows excellent analytical thinking.,6,Average,69.5
1011,1.2,61.3,42.1,Struggling with algebra concepts and finds it difficult to keep up with the pace.,0,Dropout Risk,39.4
1012,9.7,62.5,63.5,Shows excellent analytical thinking but finds it difficult to keep up with the pace.,0,Average,80.3
1013,8.5,96.3,81.8,Outstanding performance this semester and consistently submits assignments on time.,3,Top 5%,99.4
1014,2.9,65.6,51.6,Frequently distracted during lectures.,3,Dropout Risk,49.1
1015,2.6,81.3,78.5,Active participant and eager to learn and outstanding performance this semester.,0,Average,65.7
1016,2.7,76.4,55.6,Inconsistent attendance affecting performance.,5,Dropout Risk,49.0
1017,3.7,73.9,93.2,Outstanding performance this semester.,9,Average,68.2
1018,5.7,96.0,93.7,Consistently submits assignments on time and outstanding performance this semester.,1,Average,86.8
1019,4.9,60.9,57.8,Inconsistent attendance affecting performance.,4,Average,64.0
1020,3.6,86.6,53.8,Highly engaged in class discussions but frequently distracted during lectures.,7,Average,58.9
1021,6.5,98.5,64.7,Highly engaged in class discussions and shows excellent analytical thinking.,2,Average,77.0
1022,2.3,82.4,54.4,Needs significant improvement in fundamentals but highly engaged in class discussions.,8,Dropout Risk,52.4
1023,3.6,97.5,80.3,Active participant and eager to learn and outstanding performance this semester.,6,Average,71.4
1024,4.3,62.1,89.6,Outstanding performance this semester but finds it difficult to keep up with the pace.,8,Average,71.0
1025,5.1,76.8,80.4,Outstanding performance this semester and shows excellent analytical thinking.,0,Average,65.6
1026,8.1,70.4,89.5,Outstanding performance this semester and shows excellent analytical thinking.,4,Average,91.5
1027,2.8,89.2,63.8,Consistently submits assignments on time.,2,Average,58.8
1028,5.6,99.3,49.4,Needs significant improvement in fundamentals but consistently submits assignments on time.,3,Average,72.8
1029,6.3,70.3,84.3,Shows excellent analytical thinking and outstanding performance this semester.,3,Average,70.6
1030,1.4,86.2,61.6,Highly engaged in class discussions but struggling with algebra concepts.,6,Average,58.8
1031,6.5,67.9,80.3,Demonstrates great understanding of core concepts and outstanding performance this semester.,9,Average,78.5
1032,2.5,82.6,56.2,Consistently submits assignments on time.,7,Average,58.1
1033,1.6,78.6,44.9,Frequently distracted during lectures and needs significant improvement in fundamentals.,9,Dropout Risk,42.1
1034,9.5,98.9,99.6,Outstanding performance this semester and consistently submits assignments on time.,4,Top 5%,100.0
1035,9.7,84.3,49.4,Demonstrates great understanding of core concepts but needs significant improvement in fundamentals.,9,Average,73.1
1036,8.3,74.0,99.3,Shows excellent analytical thinking and outstanding performance this semester.,6,Average,89.6
1037,3.7,64.6,98.6,Outstanding performance this semester but finds it difficult to keep up with the pace.,2,Average,77.1
1038,1.9,66.0,87.6,Outstanding performance this semester but needs significant improvement in fundamentals.,2,Average,65.4
1039,7.2,69.0,79.6,Demonstrates great understanding of core concepts and outstanding performance this semester.,2,Average,77.7
1040,5.0,70.0,74.7,Inconsistent attendance affecting performance.,3,Average,63.4
1041,2.1,94.0,92.0,Consistently submits assignments on time and outstanding performance this semester.,5,Average,75.6
1042,5.5,82.4,57.4,Consistently submits assignments on time and shows excellent analytical thinking.,4,Average,66.9
1043,1.3,80.9,68.1,Struggling with algebra concepts but active participant and eager to learn.,7,Dropout Risk,44.5
1044,9.2,64.6,77.2,Finds it difficult to keep up with the pace but demonstrates great understanding of core concepts.,4,Average,86.3
1045,3.3,94.4,64.7,Active participant and eager to learn.,4,Average,65.7
1046,7.0,88.9,65.6,Shows excellent analytical thinking and highly engaged in class discussions.,9,Average,83.3
1047,3.8,62.7,59.8,Inconsistent attendance affecting performance.,1,Dropout Risk,50.6
1048,5.7,88.3,73.9,Active participant and eager to learn and demonstrates great understanding of core concepts.,4,Average,60.0
1049,5.9,81.7,91.0,Outstanding performance this semester and active participant and eager to learn.,6,Average,83.1
1050,2.7,63.3,52.1,Inconsistent attendance affecting performance and needs significant improvement in fundamentals.,1,Dropout Risk,50.6
1051,9.7,78.3,96.1,Outstanding performance this semester and shows excellent analytical thinking.,5,Average,87.5
1052,8.0,79.4,81.3,Outstanding performance this semester and demonstrates great understanding of core concepts.,6,Average,79.4
1053,9.5,66.6,89.4,Outstanding performance this semester and shows excellent analytical thinking.,4,Top 5%,100.0
1054,9.1,97.8,73.4,Active participant and eager to learn and shows excellent analytical thinking.,8,Average,88.9
1055,6.4,94.0,86.8,Outstanding performance this semester and consistently submits assignments on time.,3,Average,88.9
1056,9.3,86.8,41.0,Needs significant improvement in fundamentals but shows excellent analytical thinking.,9,Average,71.7
1057,1.8,78.5,89.1,Outstanding performance this semester but struggling with algebra concepts.,0,Average,55.0
1058,2.8,76.5,42.4,Needs significant improvement in fundamentals.,7,Dropout Risk,48.7
1059,1.4,86.0,93.4,Outstanding performance this semester but needs significant improvement in fundamentals.,7,Average,66.8
1060,3.9,81.8,99.5,Highly engaged in class discussions and outstanding performance this semester.,6,Average,76.1
1061,4.5,62.5,57.6,Finds it difficult to keep up with the pace.,7,Average,57.0
1062,3.4,80.5,52.6,Frequently distracted during lectures but active participant and eager to learn.,1,Average,58.6
1063,8.5,92.3,85.9,Shows excellent analytical thinking and outstanding performance this semester.,2,Average,90.9
1064,4.2,78.4,55.2,Needs significant improvement in fundamentals.,8,Dropout Risk,54.0
1065,3.5,62.1,91.9,Finds it difficult to keep up with the pace but outstanding performance this semester.,0,Average,70.2
1066,5.9,91.5,46.2,Highly engaged in class discussions but frequently distracted during lectures.,7,Average,56.8
1067,2.3,68.1,47.6,Frequently distracted during lectures.,7,Dropout Risk,37.1
1068,8.2,70.3,98.7,Outstanding performance this semester and shows excellent analytical thinking.,6,Top 5%,93.1
1069,1.7,66.6,80.4,Struggling with algebra concepts but outstanding performance this semester.,4,Average,60.5
1070,9.9,73.2,90.8,Outstanding performance this semester and demonstrates great understanding of core concepts.,3,Top 5%,92.6
1071,8.0,90.3,59.5,Demonstrates great understanding of core concepts and active participant and eager to learn.,9,Average,71.7
1072,2.8,80.8,80.6,Highly engaged in class discussions and outstanding performance this semester.,9,Average,62.7
1073,1.0,68.2,75.7,Struggling with algebra concepts but outstanding performance this semester.,9,Dropout Risk,53.1
1074,8.3,95.1,76.2,Shows excellent analytical thinking and highly engaged in class discussions.,9,Average,80.2
1075,7.4,95.2,81.0,Consistently submits assignments on time and shows excellent analytical thinking.,5,Average,83.0
1076,7.6,94.8,74.5,Consistently submits assignments on time and shows excellent analytical thinking.,0,Average,88.0
1077,7.9,69.6,65.7,Shows excellent analytical thinking.,4,Average,82.1
1078,1.7,78.0,56.6,Struggling with algebra concepts.,3,Dropout Risk,49.8
1079,4.2,99.4,86.1,Outstanding performance this semester and highly engaged in class discussions.,3,Average,82.8
1080,2.0,90.9,53.6,Active participant and eager to learn but frequently distracted during lectures.,6,Dropout Risk,46.3
1081,8.8,61.1,81.5,Finds it difficult to keep up with the pace but outstanding performance this semester.,8,Average,84.9
1082,6.6,62.6,54.0,Needs significant improvement in fundamentals but shows excellent analytical thinking.,7,Average,59.5
1083,4.0,78.6,77.5,Outstanding performance this semester.,7,Average,70.0
1084,1.6,96.4,84.8,Struggling with algebra concepts but active participant and eager to learn.,4,Average,67.1
1085,3.8,81.5,53.1,Needs significant improvement in fundamentals but active participant and eager to learn.,5,Average,65.6
1086,3.9,79.9,43.6,Needs significant improvement in fundamentals.,1,Dropout Risk,50.8
1087,7.6,64.2,47.9,Demonstrates great understanding of core concepts but frequently distracted during lectures.,2,Average,68.0
1088,6.7,86.3,76.4,Demonstrates great understanding of core concepts and outstanding performance this semester.,4,Average,78.6
1089,9.0,92.9,91.0,Active participant and eager to learn and outstanding performance this semester.,1,Top 5%,94.9
1090,5.2,75.2,42.7,Demonstrates great understanding of core concepts but frequently distracted during lectures.,2,Average,57.1
1091,2.1,91.0,84.0,Highly engaged in class discussions and outstanding performance this semester.,3,Average,64.0
1092,7.4,98.6,60.5,Shows excellent analytical thinking and active participant and eager to learn.,5,Average,79.7
